"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Yes","Faculty Issues: Expertise/training",6,21,28.5714285714286,354,0.0169491525423729,"Minority.Serving"
"2","2_No","Faculty Issues: Expertise/training",15,21,71.4285714285714,399,0.037593984962406,"Non.Minority.Serving"
"3","1_Yes","Faculty Issues: Time",3,6,50,354,0.00847457627118644,"Minority.Serving"
"4","2_No","Faculty Issues: Time",3,6,50,399,0.0075187969924812,"Non.Minority.Serving"
"5","1_Yes","Faculty Issues: No interest in topic",0,0,NA,354,0,"Minority.Serving"
"6","2_No","Faculty Issues: No interest in topic",0,0,NA,399,0,"Non.Minority.Serving"
"7","1_Yes","Faculty Issues: No comp-sci faculty",0,1,0,354,0,"Minority.Serving"
"8","2_No","Faculty Issues: No comp-sci faculty",1,1,100,399,0.0025062656641604,"Non.Minority.Serving"
"9","1_Yes","Facilities Issues: Access to computer labs",73,127,57.4803149606299,354,0.206214689265537,"Minority.Serving"
"10","2_No","Facilities Issues: Access to computer labs",54,127,42.5196850393701,399,0.135338345864662,"Non.Minority.Serving"
"11","1_Yes","Facilities Issues: Inadaquate computers",11,20,55,354,0.0310734463276836,"Minority.Serving"
"12","2_No","Facilities Issues: Inadaquate computers",9,20,45,399,0.0225563909774436,"Non.Minority.Serving"
"13","1_Yes","Facilities Issues: Access to servers",7,11,63.6363636363636,354,0.019774011299435,"Minority.Serving"
"14","2_No","Facilities Issues: Access to servers",4,11,36.3636363636364,399,0.0100250626566416,"Non.Minority.Serving"
"15","1_Yes","Facilities Issues: Access to internet",10,13,76.9230769230769,354,0.0282485875706215,"Minority.Serving"
"16","2_No","Facilities Issues: Access to internet",3,13,23.0769230769231,399,0.0075187969924812,"Non.Minority.Serving"
"17","1_Yes","Resource Issues: Access to operating systems",19,41,46.3414634146341,354,0.0536723163841808,"Minority.Serving"
"18","2_No","Resource Issues: Access to operating systems",22,41,53.6585365853659,399,0.0551378446115288,"Non.Minority.Serving"
"19","1_Yes","Resource Issues: Apropriate software",19,37,51.3513513513513,354,0.0536723163841808,"Minority.Serving"
"20","2_No","Resource Issues: Apropriate software",18,37,48.6486486486487,399,0.0451127819548872,"Non.Minority.Serving"
"21","1_Yes","Resource Issues: Access to high-performance computing",27,51,52.9411764705882,354,0.076271186440678,"Minority.Serving"
"22","2_No","Resource Issues: Access to high-performance computing",24,51,47.0588235294118,399,0.0601503759398496,"Non.Minority.Serving"
"23","1_Yes","Resource Issues: Funding",4,14,28.5714285714286,354,0.0112994350282486,"Minority.Serving"
"24","2_No","Resource Issues: Funding",10,14,71.4285714285714,399,0.025062656641604,"Non.Minority.Serving"
"25","1_Yes","Institutional Issues: Access to IT support",53,105,50.4761904761905,354,0.149717514124294,"Minority.Serving"
"26","2_No","Institutional Issues: Access to IT support",52,105,49.5238095238095,399,0.130325814536341,"Non.Minority.Serving"
"27","1_Yes","Institutional Issues: Subscriptions/licenses",1,2,50,354,0.00282485875706215,"Minority.Serving"
"28","2_No","Institutional Issues: Subscriptions/licenses",1,2,50,399,0.0025062656641604,"Non.Minority.Serving"
"29","1_Yes","Institutional Issues: No support from comp-sci faculty",1,2,50,354,0.00282485875706215,"Minority.Serving"
"30","2_No","Institutional Issues: No support from comp-sci faculty",1,2,50,399,0.0025062656641604,"Non.Minority.Serving"
"31","1_Yes","Student Issues: Access to software off-campus",6,9,66.6666666666667,354,0.0169491525423729,"Minority.Serving"
"32","2_No","Student Issues: Access to software off-campus",3,9,33.3333333333333,399,0.0075187969924812,"Non.Minority.Serving"
"33","1_Yes","Student Issues: Basic computing knowledge",3,5,60,354,0.00847457627118644,"Minority.Serving"
"34","2_No","Student Issues: Basic computing knowledge",2,5,40,399,0.0050125313283208,"Non.Minority.Serving"
"35","1_Yes","Student Issues: Access to computers Off-campus",7,11,63.6363636363636,354,0.019774011299435,"Minority.Serving"
"36","2_No","Student Issues: Access to computers Off-campus",4,11,36.3636363636364,399,0.0100250626566416,"Non.Minority.Serving"
"37","1_Yes","Student Issues: No interest in bioinformatics",0,0,NA,354,0,"Minority.Serving"
"38","2_No","Student Issues: No interest in bioinformatics",0,0,NA,399,0,"Non.Minority.Serving"
"39","1_Yes","Curriculum Issues: New program development required",0,2,0,354,0,"Minority.Serving"
"40","2_No","Curriculum Issues: New program development required",2,2,100,399,0.0050125313283208,"Non.Minority.Serving"
"41","1_Yes","Curriculum Issues: Class size",0,2,0,354,0,"Minority.Serving"
"42","2_No","Curriculum Issues: Class size",2,2,100,399,0.0050125313283208,"Non.Minority.Serving"
"43","1_Yes","Curriculum Issues: Access to bioinformatics lesson plans",1,1,100,354,0.00282485875706215,"Minority.Serving"
"44","2_No","Curriculum Issues: Access to bioinformatics lesson plans",0,1,0,399,0,"Non.Minority.Serving"
